phenocode	name	category
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)
AB1_BACTINF_NOS	"Bacterial infection, other or unspecified"	I Certain infectious and parasitic diseases (AB1_)
AB1_BACT_BIR_OTHER_INF_AGENTS	"Bacterial, viral and other infectious agents"	I Certain infectious and parasitic diseases (AB1_)
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)
AB1_CMV	Cytomegaloviral disease	I Certain infectious and parasitic diseases (AB1_)
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	I Certain infectious and parasitic diseases (AB1_)
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)
AB1_HIV	Human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)
AB1_INFECTIONS	Certain infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)
