UK_code	UK_pheno	h2_observed
D38	Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	0.0014152299447
H16	Keratitis	-0.00403244350431
D30	Benign neoplasm of urinary organs	0.00191466844353
N47	Redundant prepuce, phimosis and paraphimosis	0.00265214088776
K44	Diaphragmatic hernia	0.00592544910168
T86	Failure and rejection of transplanted organs and tissues	0.00109785621385
I31	Other diseases of pericardium	0.00272851076705
L02	Cutaneous abscess, furuncle and carbuncle	-0.00274338138727
M45	Ankylosing spondylitis	0.00323944334323
K76	Other diseases of liver	0.00474683188825
F23	Acute and transient psychotic disorders	-0.00232488900817
E16	Other disorders of pancreatic internal secretion	0.00184657563879
Z43	Attention to artificial openings	-0.000688015917444
H35	Other retinal disorders	-0.000913826291222
I20	Angina pectoris	0.0102489525116
K66	Other disorders of peritoneum	0.000537247187347
N80	Endometriosis	0.0043129331862
O36	Maternal care for other known or suspected foetal problems	0.0021424678054
F33	Recurrent depressive disorder	0.00350300670057
S00	Superficial injury of head	0.000305412164198
H43	Disorders of vitreous body	-0.000134488355435
Z51	Other medical care	0.000918522553746
N93	Other abnormal uterine and vaginal bleeding	5.95745400765e-06
G51	Facial nerve disorders	0.00279968815477
M21	Other acquired deformities of limbs	0.00792744976184
L30	Other dermatitis	-0.00295924789294
M10	Gout	0.00514441294521
H53	Visual disturbances	0.00304126394435
K83	Other diseases of biliary tract	-0.00265015553385
F10	Mental and behavioural disorders due to use of alcohol	-0.00231715077958
J44	Other chronic obstructive pulmonary disease	0.00649100273431
S20	Superficial injury of thorax	-0.00179934795935
H80	Otosclerosis	0.0029912714022
I78	Diseases of capillaries	-0.00148957422066
Z00	General examination and investigation of persons without complaint or reported diagnosis	-0.000954125586922
M05	Seropositive rheumatoid arthritis	0.00119415269491
H73	Other disorders of tympanic membrane	0.000442840463333
I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	-6.14765907251e-05
Z12	Special screening examination for neoplasms	0.00195983509003
S42	Fracture of shoulder and upper arm	-0.000243518663144
R60	Oedema, not elsewhere classified	0.000510220085756
I50	Heart failure	0.000865870641849
F43	Reaction to severe stress, and adjustment disorders	0.00435696735966
C34	Malignant neoplasm of bronchus and lung	-0.000183586158186
J32	Chronic sinusitis	-0.00225712794541
I44	Atrioventricular and left bundle-branch block	-0.000373174362099
R40	Somnolence, stupor and coma	0.0017174844593
N28	Other disorders of kidney and ureter, not elsewhere classified	0.0041922194962
T14	Injury of unspecified body region	-0.000436080888678
S66	Injury of muscle and tendon at wrist and hand level	0.00447493696167
J03	Acute tonsillitis	0.00369162274198
R52	Pain, not elsewhere classified	0.00186690832629
I95	Hypotension	0.0019939713626
G37	Other demyelinating diseases of central nervous system	0.0032350298037
L97	Ulcer of lower limb, not elsewhere classified	-0.0037506882263
N32	Other disorders of bladder	0.00528199573219
K00	Disorders of tooth development and eruption	0.000954412573027
K09	Cysts of oral region, not elsewhere classified	0.00366664329567
I85	Oesophageal varices	-0.00193377151182
G24	Dystonia	0.00125447167555
C45	Mesothelioma	-0.00156530807915
K31	Other diseases of stomach and duodenum	0.00121911179045
N13	Obstructive and reflux uropathy	0.00316314567824
O47	False labour	0.00139276666737
R31	Unspecified haematuria	0.00825017431834
C73	Malignant neoplasm of thyroid gland	8.43537174316e-05
C92	Myeloid leukaemia	-0.00170538866974
K27	Peptic ulcer, site unspecified	-0.00042683301494
D11	Benign neoplasm of major salivary glands	-0.000387870747805
O75	Other complications of labour and delivery, not elsewhere classified	0.00425933090956
N60	Benign mammary dysplasia	0.00364473890348
M94	Other disorders of cartilage	-0.00213132956555
M79	Other soft tissue disorders, not elsewhere classified	0.00221078500928
K58	Irritable bowel syndrome	0.0018709455885
A63	Other predominantly sexually transmitted diseases, not elsewhere classified	-0.000411060471131
R15	Faecal incontinence	0.000587193753457
O63	Long labour	0.00167331625179
D23	Other benign neoplasms of skin	0.000773329020897
N70	Salpingitis and oophoritis	0.00050538180254
M85	Other disorders of bone density and structure	-0.00305914477041
M54	Dorsalgia	0.00959289381146
T85	Complications of other internal prosthetic devices, implants and grafts	0.000963077354199
E27	Other disorders of adrenal gland	-0.00105484364395
D39	Neoplasm of uncertain or unknown behaviour of female genital organs	-0.00334540194577
N49	Inflammatory disorders of male genital organs, not elsewhere classified	-0.000138924580194
K46	Unspecified abdominal hernia	0.00483363823654
Z71	Persons encountering health services for other counselling and medical advice, not elsewhere classified	0.000712206174064
H25	Senile cataract	0.00807502005675
I30	Acute pericarditis	0.00503279007659
F20	Schizophrenia	0.00137836788405
Z48	Other surgical follow-up care	0.00108792357192
O04	Medical abortion	0.00340722599686
Z42	Follow-up care involving plastic surgery	0.00272466213315
