Finn_code	finn_pheno	UK_code	UK_pheno	h2_observed	score	priority	comments	Unnamed: 8	Соответствие	Unnamed: 10	intersect_clump_fu_n	intersect_clump_fm_n	intersect_clump_um_n	intersect_clump_fum_n
AB1_OTHER_BACTERIAL	Other bacterial diseases	A04	Other bacterial intestinal infections	0.00280958329473	0.8224849700927734	*					0	1	0	0
AB1_OTHER_BACTERIAL	Other bacterial diseases	K83	Other diseases of biliary tract	-0.0026501555338499998	0.7065680623054504	*					0	1	1	0
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	A04	Other bacterial intestinal infections	0.00280958329473	0.8802552819252014	*					0	0	0	0
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	A08	Viral and other specified intestinal infections	-0.000867688344422	0.7733407020568848	*					0	0	0	0
C3_BREAST_HER2NEG	Malignant neoplasm of breast, HER2-negative	C50	Malignant neoplasm of breast	0.0118272681648	0.7438393831253052	*					2	10	17	12
C3_BREAST_HERNEG	Malignant neoplasm of breast, HER-negative	C50	Malignant neoplasm of breast	0.0118272681648	0.9144423604011536	*					0	0	15	6
C3_BREAST_HERPLUS	Malignant neoplasm of breast, HER-positive	C50	Malignant neoplasm of breast	0.0118272681648	0.8971729874610901	*					2	5	17	11
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C16	Malignant neoplasm of stomach	-0.0030589834211	0.8485301733016968	*					0	0	0	0
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C21	Malignant neoplasm of anus and anal canal	-0.0017840692587700001	0.7894195914268494	*					0	0	1	0
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C20	Malignant neoplasm of rectum	-0.00099855226381	0.7769629955291748	*					0	2	0	0
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	C71	Malignant neoplasm of brain	0.000169499864944	0.8561587929725647	*					0	0	1	0
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	C69	Malignant neoplasm of eye and adnexa	0.0013050838860899998	0.7996904253959656	*					0	0	0	0
