Finn_code	finn_pheno	UK_code	UK_pheno	score	priority	finn_SNP_n	uk_SNP_n	meta_SNP_n	shared_SNP_fu_n	shared_SNP_fm_n	shared_SNP_um_n	shared_SNP_fum_n	uk_clump_n	finn_clump_n	meta_clump_n	intersect_clump_fu_n	intersect_clump_fm_n	intersect_clump_um_n	intersect_clump_fum_n
AB1_OTHER_BACTERIAL	Other bacterial diseases	A04	Other bacterial intestinal infections	0.822484970092773	*	119	0	4	0	4	0	0	0	2	1	0	1	0	0
AB1_OTHER_BACTERIAL	Other bacterial diseases	K83	Other diseases of biliary tract	0.70656806230545	*	119	3	12	0	9	1	0	3	2	3	0	1	1	1
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	A04	Other bacterial intestinal infections	0.880255281925201	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	A08	Viral and other specified intestinal infections	0.773340702056885	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3_BREAST_HER2NEG	Malignant neoplasm of breast, HER2-negative	C50	Malignant neoplasm of breast	0.743839383125305	*	1557	960	2754	412	1258	794	390	19	45	46	17	29	17	28
C3_BREAST_HERNEG	Malignant neoplasm of breast, HER-negative	C50	Malignant neoplasm of breast	0.914442360401154	*	93	960	1447	69	67	784	66	19	8	30	5	5	16	20
C3_BREAST_HERPLUS	Malignant neoplasm of breast, HER-positive	C50	Malignant neoplasm of breast	0.89717298746109	*	699	960	2155	185	515	683	173	19	33	42	13	20	17	26
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C16	Malignant neoplasm of stomach	0.848530173301697	*	40	1	0	0	0	0	0	0	4	0	0	0	0	0
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C21	Malignant neoplasm of anus and anal canal	0.789419591426849	*	40	1850	73	0	0	71	0	2	4	1	0	0	1	1
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	C20	Malignant neoplasm of rectum	0.776962995529175	*	40	1	67	0	27	0	0	1	4	5	0	2	0	0
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	C71	Malignant neoplasm of brain	0.856158792972565	*	0	5	89	0	0	4	0	1	0	3	0	0	1	1
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system	C69	Malignant neoplasm of eye and adnexa	0.799690425395966	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	40001_C55	Malignant neoplasm of uterus, part unspecified	0.782921612262726	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C02	Malignant neoplasm of other and unspecified parts of tongue	0.768614232540131	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C15	Malignant neoplasm of oesophagus	0.759854912757874	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3_LIP_ORAL_PHARYNX	Malignant neoplasm of lip, oral cavity and pharynx	C32	Malignant neoplasm of larynx	0.75569349527359	*	0	1	0	0	0	0	0	1	0	0	0	0	0	0
C3_MALE_GENITAL	malignant neoplasm of male genital organs	C62	Malignant neoplasm of testis	0.714637398719788	*	2863	62	141	0	123	0	0	2	71	6	0	6	0	0
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	40001_C809	Malignant neoplasm, unspecified	0.83939266204834	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	40001_C800	Malignant neoplasm, primary site unknown, so stated	0.757057547569275	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD2_BENIGN	Benign neoplasms	D17	Benign lipomatous neoplasm	0.812168002128601	*	1192	17	425	8	350	7	7	3	46	20	1	17	1	1
CD2_BENIGN	Benign neoplasms	D30	Benign neoplasm of urinary organs	0.79645437002182	*	1192	2	36	0	34	0	0	1	46	3	0	2	0	0
CD2_BENIGN_BRAIN_NOS	Benign neoplasm: Brain, unspecified	D36	Benign neoplasm of other and unspecified sites	0.772126197814941	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum	D36	Benign neoplasm of other and unspecified sites	0.725332021713257	*	15	5	0	0	0	0	0	1	1	0	0	0	0	0
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid	D36	Benign neoplasm of other and unspecified sites	0.757023870944977	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_COLON	Benign neoplasm: Colon	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.783515334129334	*	77	521	1071	70	68	359	65	15	5	26	2	4	11	13
CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	D36	Benign neoplasm of other and unspecified sites	0.73456335067749	*	3	5	0	0	0	0	0	1	1	0	0	0	0	0
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	Benign neoplasm: Connective and other soft tissue of head, face and neck	D21	Other benign neoplasms of connective and other soft tissue	0.705605328083038	*	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	D26	Other benign neoplasms of uterus	0.78364235162735	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	N88	Other noninflammatory disorders of cervix uteri	0.73196667432785	*	0	0	1	0	0	0	0	0	0	1	0	0	0	0
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	0.711151957511902	*	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	D33	Benign neoplasm of brain and other parts of central nervous system	0.715859651565552	*	3	0	4	0	2	0	0	0	1	2	0	1	0	0
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa	D36	Benign neoplasm of other and unspecified sites	0.764384746551514	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_INTRATHORACIC	Benign neoplasm of other and unspecified intrathoracic organs	D36	Benign neoplasm of other and unspecified sites	0.857829213142395	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_INTRATHORACIC_EXALLC	Benign neoplasm of other and unspecified intrathoracic organs (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	0.713351845741272	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_LIP	Benign neoplasm: Lip	D10	Benign neoplasm of mouth and pharynx	0.749559342861176	*	0	2	4	0	0	0	0	1	0	1	0	0	0	0
CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified	D36	Benign neoplasm of other and unspecified sites	0.827282965183258	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_LIPO_SKIN_HEADFACENECK	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	D17	Benign lipomatous neoplasm	0.767528474330902	*	0	17	5	0	0	5	0	3	0	2	0	0	2	2
CD2_BENIGN_LIPO_SKIN_LIMBS	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	D17	Benign lipomatous neoplasm	0.79022628068924	*	2	17	9	0	0	6	0	3	2	3	0	0	2	2
CD2_BENIGN_LIPO_SKIN_NOS	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	D17	Benign lipomatous neoplasm	0.805247724056244	*	0	17	1	0	0	1	0	3	0	1	0	0	1	1
CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	D17	Benign lipomatous neoplasm	0.825388669967651	*	0	17	63	0	0	13	0	3	0	5	0	0	3	3
CD2_BENIGN_LYMPHANGIOMA	Lymphangioma, anys site	D18	Haemangioma and lymphangioma, any site	0.703802168369293	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_BENIGN_MELANOCYTIC_LIP	Melanocytic naevi of lip	D22	Melanocytic naevi	0.826158583164215	*	0	390	102	0	0	90	0	6	0	2	0	0	2	2
CD2_BENIGN_MELANOCYTIC_SCALPNECK	Melanocytic naevi of scalp and neck	D22	Melanocytic naevi	0.747223794460297	*	1	390	51	0	0	50	0	6	1	4	0	0	4	4
CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk	D22	Melanocytic naevi	0.873422265052795	*	0	390	431	0	0	279	0	6	0	6	0	0	4	4
CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth	D36	Benign neoplasm of other and unspecified sites	0.786491632461548	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_OROPHA_OTHER	Benign neoplasm: Other parts of oropharynx	D36	Benign neoplasm of other and unspecified sites	0.80400425195694	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_OROPHA_OTHER	Benign neoplasm: Other parts of oropharynx	D10	Benign neoplasm of mouth and pharynx	0.773423492908478	*	0	2	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_OROPHA_OTHER_EXALLC	Benign neoplasm: Other parts of oropharynx (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	0.711767792701721	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_PHARYNX_NOS	Benign neoplasm: Pharynx, unspecified	D10	Benign neoplasm of mouth and pharynx	0.797709763050079	*	0	2	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_RECTUM	Benign neoplasm: Rectum	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.815688610076904	*	0	521	362	0	0	231	0	15	0	13	0	0	10	10
CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (all cancers excluded)	D12	Benign neoplasm of colon, rectum, anus and anal canal	0.704859793186188	*	2	521	435	0	0	249	0	15	1	13	0	0	10	10
CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland	D36	Benign neoplasm of other and unspecified sites	0.763551115989685	*	1	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_SKIN_FACE	Benign neoplasm: Skin of other and unspecified parts of face	D36	Benign neoplasm of other and unspecified sites	0.799805879592896	*	0	5	8	0	0	5	0	1	0	1	0	0	1	1
CD2_BENIGN_SKIN_FACE_EXALLC	Benign neoplasm: Skin of other and unspecified parts of face (all cancers excluded)	D36	Benign neoplasm of other and unspecified sites	0.724378824234009	*	0	5	10	0	0	5	0	1	0	1	0	0	1	1
CD2_BENIGN_SKIN_NOS	Benign neoplasm: Skin, unspecified	D36	Benign neoplasm of other and unspecified sites	0.744055032730103	*	1	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_TRANSVERSE_COLON	Benign neoplasm: Transverse colon	D36	Benign neoplasm of other and unspecified sites	0.71496993303299	*	0	5	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_UTERUS_NOS_EXALLC	Other benign neoplasm of uterus: Other parts/unspecified (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	0.747587323188782	*	2	1	0	0	0	0	0	1	1	0	0	0	0	0
CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (all cancers excluded)	N85	Other noninflammatory disorders of uterus, except cervix	0.719022214412689	*	1	1	0	0	0	0	0	1	0	0	0	0	0	0
CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (all cancers excluded)	N88	Other noninflammatory disorders of cervix uteri	0.70164030790329	*	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_BENIGN_VULVA	Benign neoplasm: Vagina	D28	Benign neoplasm of other and unspecified female genital organs	0.737416625022888	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2_FOLLICULAR_LYMPHOMA	Follicular lymphoma	C82	Follicular [nodular] non-Hodgkin's lymphoma	0.817282617092133	*	2864	1192	2691	697	2218	678	667	2	10	9	2	8	3	4
